id,table_name,column_name,gt_label,expansion,gold_label
0,158_1734_tree_density_2002.txt,Site,site,,
1,158_1734_tree_density_2002.txt,Plot,plot,,
2,158_1734_tree_density_2002.txt,Black Spruce Adults,black spruce adults,Black Spruce Adults,1.0
3,158_1734_tree_density_2002.txt,Black Spruce Seedlings,black spruce seedlings,Black Spruce Seedlings,1.0
4,158_1734_tree_density_2002.txt,White Spruce Adults,white spruce adults,White Spruce Adults,1.0
5,158_1734_tree_density_2002.txt,White Spruce Seedlings,white spruce seedlings,White Spruce Seedlings,1.0
6,186_1590_Cones.txt,Site,site,Site,1.0
7,186_1590_Cones.txt,Plot,plot,Plot,1.0
8,186_1590_Cones.txt,Pmar ht,,Pmar Height,
9,186_1590_Cones.txt,Pmar Cones,,Pmar Cones,
10,197_1622_SEED.txt,plot,plot,Plot,1.0
11,197_1622_SEED.txt,AspT,aspen treatment,Aspect Trend/Type,0.0
12,197_1622_SEED.txt,species,species,Species,1.0
13,197_1622_SEED.txt,gross est,gross estimate,Gross Estimate,1.0
14,197_1622_SEED.txt,net est.,net estimate,Net Estimate,1.0
15,1988gssabm.csv,Date,date,Date,1.0
16,1988gssabm.csv,Site,site,Site,1.0
17,1988gssabm.csv,Treatment,treatment,Treatment,1.0
18,1988gssabm.csv,Growth Form,growth form,Growth Form,1.0
19,1988gssabm.csv,Species,species,Species,1.0
20,1988gssabm.csv,Tissue,tissue,Tissue,1.0
21,1988gssabm.csv,Biomass Category,biomass category,Biomass Category,1.0
22,1988gssabm.csv,B1Q1gm2,,Block 1 Quarter 1 Grams per Square Meter,
23,1988gssabm.csv,B1Q2gm2,,Block 1 Quarter 2 Grams per Square Meter,
24,1988gssabm.csv,B1Q3gm2,,Block 1 Quarter 3 Grams per Square Meter,
25,1988gssabm.csv,B1Q4gm2,,Block 1 Question 4 gm2,
26,1988gssabm.csv,B1Q5gm2,,Block 1 Question 5 gm2,
27,1988gssabm.csv,B2Q1gm2,,Block 2 Question 1 gm2,
28,1988gssabm.csv,B2Q2gm2,,Block 2 Question 2 gm2,
29,1988gssabm.csv,B2Q3gm2,,Block 2 Question 3 gm2,
30,1988gssabm.csv,B2Q4gm2,,Block 2 Question 4 gm2,
31,1988gssabm.csv,B2Q5gm2,,Block 2 Question 5 gm2,
32,1988gssabm.csv,B3Q1gm2,,Block 3 Question 1 gm2,
33,1988gssabm.csv,B3Q2gm2,,Block 3 Question 2 gm2,
34,1988gssabm.csv,B3Q3gm2,,Block 3 Question 3 gm2,
35,1988gssabm.csv,B3Q4gm2,,Block Question 4 Grams per Square Meter,
36,1988gssabm.csv,B3Q5gm2,,Block Question 5 Grams per Square Meter,
37,1988gssabm.csv,B4Q1gm2,,Block Question 1 Grams per Square Meter,
38,1988gssabm.csv,B4Q2gm2,,Block Question 2 Grams per Square Meter,
39,1988gssabm.csv,B4Q3gm2,,Block Question 3 Grams per Square Meter,
40,1988gssabm.csv,B4Q4gm2,,Block Question 4 Grams per Square Meter,
41,1988gssabm.csv,B4Q5gm2,,Block Question 5 Grams per Square Meter,
42,1988gssabm.csv,Average g/m^2,average grams per square meter,Average Grams per Square Meter,1.0
43,1988gssabm.csv,StdERR g/m^2,standard error grams per square meter,Standard Error Grams per Square Meter,1.0
44,1988gssabm.csv,Count g/m^2,count grams per square meter,Count Grams per Square Meter,1.0
45,1993_EVRT1980_TILLER_SIZE.csv,Garden,garden,Garden,1.0
46,1993_EVRT1980_TILLER_SIZE.csv,Source,source,Source,1.0
47,1993_EVRT1980_TILLER_SIZE.csv,Tussock,tussock,Tussock,1.0
48,1993_EVRT1980_TILLER_SIZE.csv,Sample,sample,Sample,1.0
49,1993_EVRT1980_TILLER_SIZE.csv,NumGreenLeaves,number of green leaves,Number Green Leaves,1.0
50,1993_EVRT1980_TILLER_SIZE.csv,LL,leaf length,Leaf Length,1.0
51,1993_EVRT1980_TILLER_SIZE.csv,Collector,collector,Collector,1.0
52,1993_EVRT1980_TILLER_SIZE.csv,Comments,comments,Comments,1.0
53,1993_EVRT1980_TILLER_SIZE.csv,TillerIndex,tiller index,Tiller Index,1.0
54,1997lgextnuts.csv,Date,date,,
55,1997lgextnuts.csv,Site,site,,
56,1997lgextnuts.csv,Community,community,,
57,1997lgextnuts.csv,Core,core,,
58,1997lgextnuts.csv,Horizon,horizon,,
59,1997lgextnuts.csv,Code,code,,
60,1997lgextnuts.csv,Core location,core location,,
61,1997lgextnuts.csv,CAN#,can #,Canister Number,1.0
62,1997lgextnuts.csv,CANWT,can weight,Canister Weight,1.0
63,1997lgextnuts.csv,WETWT,wet weight,Wet Weight,1.0
64,1997lgextnuts.csv,DRYWT,dry weight,Dry Weight,1.0
65,1997lgextnuts.csv,KCLWT,,Potassium Chloride Weight,
66,1997lgextnuts.csv,HCLWT,,Hydrochloric Acid Weight,
67,1997lgextnuts.csv,1N HCLWT,,1 Normal Hydrochloric Acid Weight,
68,1997lgextnuts.csv,MOISTURE,moisture,Moisture,1.0
69,1997lgextnuts.csv,corwetwt,core wet weight,Corrected Wet Weight,0.0
70,1997lgextnuts.csv,BulkDens,bulk density,Bulk Density,1.0
71,1997lgextnuts.csv,Dry_Wet,dry wet,Dry Wet,1.0
72,1997lgextnuts.csv,length,length,Length,1.0
73,1997lgextnuts.csv,NH4 um/l,ammonium micromoles per liter,Ammonium micromoles per liter,1.0
74,1997lgextnuts.csv,NO3 um/l,nitrate micromoles per liter,Nitrate micromoles per liter,1.0
75,1997lgextnuts.csv,PO4 um/l,phosphate micromoles per liter,Phosphate micromoles per liter,1.0
76,1997lgextnuts.csv,1NPO4 um/l,,1NPO4 micromoles per liter,
77,1997lgextnuts.csv,NH4blank,ammonium blank,Ammonium blank,1.0
78,1997lgextnuts.csv,NO3blank,nitrate blank,Nitrate blank,1.0
79,1997lgextnuts.csv,PO4blank,phosphate blank,Phosphate blank,1.0
80,1997lgextnuts.csv,1NPO4blk,,1NPO4 blank,
81,1997lgextnuts.csv,NH4 ug_g,ammonium micrograms per gram,Ammonium micrograms per gram,1.0
82,1997lgextnuts.csv,NO3 ug_g,nitrate micrograms per gram,Nitrate micrograms per gram,1.0
83,1997lgextnuts.csv,PO4 ug_g,phosphate micrograms per gram,Phosphate micrograms per gram,1.0
84,1997lgextnuts.csv,1NPO4 ug_g,,1NPO4 micrograms per gram,
85,1997lgextnuts.csv,NH4 g/m2,ammonium grams per square meter,Ammonium grams per square meter,1.0
86,1997lgextnuts.csv,NO3 g/m2,nitrate grams per square meter,Nitrate grams per square meter,1.0
87,1997lgextnuts.csv,PO4 g/m2,phosphate grams per square meter,Phosphate grams per square meter,1.0
88,1997lgextnuts.csv,1NPO4 g/m2,,1NPO4 grams per square meter,
89,1997lgextnuts.csv,pH,potential of hydrogen,pH,0.0
90,1997lgextnuts.csv,N:P,nitrogen to phosphorus,Nitrogen Phosphorus,1.0
91,1997lgextnuts.csv,COMMENTS,comments,Comments,1.0
92,2002_bacprods_Kling.csv,SortChem,sort chemical,Sorting Chemical,1.0
93,2002_bacprods_Kling.csv,Site,site,Site,1.0
94,2002_bacprods_Kling.csv,Date,date,Date,1.0
95,2002_bacprods_Kling.csv,Time_hr_dst,time hours daylight savings time,Time hour Daylight Saving Time,1.0
96,2002_bacprods_Kling.csv,Depth_m,depth meter,Depth meters,1.0
97,2002_bacprods_Kling.csv,Bac_prod_ug C_L_day,bacterial productivity micrograms of carbon per liter per day,Bacterial Production micrograms Carbon Liter day,1.0
98,2003-2009gscurveparameters.csv,YEAR,year,Year,1.0
99,2003-2009gscurveparameters.csv,DATE,date,Date,1.0
100,2003-2009gscurveparameters.csv,SITE,site,Site,1.0
101,2003-2009gscurveparameters.csv,GROUP,group,Group,1.0
102,2003-2009gscurveparameters.csv,PLOT,plot,Plot,1.0
103,2003-2009gscurveparameters.csv,TREAT,treatment,Treatment,1.0
104,2003-2009gscurveparameters.csv,PHASE,phase,Phase,1.0
105,2003-2009gscurveparameters.csv,PLOT SIZE,plot size,Plot Size,1.0
106,2003-2009gscurveparameters.csv,CURVE ID,curve identifier,Curve Identifier,1.0
107,2003-2009gscurveparameters.csv,TIME,time,Time,1.0
108,2003-2009gscurveparameters.csv,NDVI,ndvi,Normalized Difference Vegetation Index,1.0
109,2003-2009gscurveparameters.csv,Pmax,,Maximum Photosynthesis,
110,2003-2009gscurveparameters.csv,K,,Curve Shape Parameter,
111,2003-2009gscurveparameters.csv,Re,respiration,Respiration,1.0
112,2003-2009gscurveparameters.csv,Eo,,Activation Energy,
113,2003-2009gscurveparameters.csv,LCP,light compensation point,Light Compensation Point,1.0
114,2003-2009gscurveparameters.csv,AIRTEMP,air temperature,Air Temperature,1.0
115,2003-2009gscurveparameters.csv,MAX PAR,maximum par,Maximum Photosynthetically Active Radiation,1.0
116,2003-2009gscurveparameters.csv,Comments,comments,Comments,1.0
117,2003BeachPorewaterDINPDONSalinity.csv,YEAR,year,Year,1.0
118,2003BeachPorewaterDINPDONSalinity.csv,MONTH,month,Month,1.0
119,2003BeachPorewaterDINPDONSalinity.csv,DATE,date,Date,1.0
120,2003BeachPorewaterDINPDONSalinity.csv,SITE,site,Site,1.0
121,2003BeachPorewaterDINPDONSalinity.csv,TRANSECT,transect,Transect,1.0
122,2003BeachPorewaterDINPDONSalinity.csv,Sampling level,sampling level,Sampling Level,1.0
123,2003BeachPorewaterDINPDONSalinity.csv,Distance m,distance meters,Distance Meters,1.0
124,2003BeachPorewaterDINPDONSalinity.csv,PO4 uM,phosphate micromoles,Phosphate Micromolar,1.0
125,2003BeachPorewaterDINPDONSalinity.csv,NO2 uM,nitrite micromoles,Nitrite Micromolar,1.0
126,2003BeachPorewaterDINPDONSalinity.csv,NO2 +NO3 uM,nitrite + nitrate micromoles,+ Nitrate Micromolar,0.0
127,2003BeachPorewaterDINPDONSalinity.csv,NH4 uM,ammonium micromoles,Ammonium micromolar,1.0
